1,Crew Cut,,male,short
2,Undercut,,male,short
3,Fade,,male,short
4,Side Part,,male,short
5,Buzz Cut,,male,short
6,Caesar Cut,,male,short
7,French Crop,,male,short
8,Bro Flow,,male,medium
9,Pompadour,,male,short
10,Slicked Back,,male,short
11,Quiff,,male,short
12,Blowout,,male,short
13,Comb Over,,male,short
14,Faux Hawk,,male,short
15,Fringe,,male,short
16,Messy Waves,,male,short
17,Loose Waves,,male,long
18,Long and Straight,,male,long
19,Man Bun,,male,medium
20,Topknot,,male,medium
21,Waves,,female,long
22,Diana,,female,medium
23,Bob,,female,medium
24,Lob,,female,medium
25,Wob,,female,medium
26,Bangs,,female,long
27,Layers,,female,medium
28,Crop,,female,medium
29,Asymmetrical Cut,,female,medium
30,Chop,,female,medium
31,Tapered,,female,short
