id,style,gender,length,image
1,Crew Cut,male,short,placeholder
2,Undercut,male,short,placeholder
3,Fade,male,short,placeholder
4,Side Part,male,short,placeholder
5,Buzz Cut,male,short,buzzcut_sv_m
6,Caesar Cut,male,short,placeholder
7,French Crop,male,short,placeholder
8,Bro Flow,male,medium,placeholder
9,Pompadour,male,short,pompadour_sv_m
10,Slicked Back,male,short,placeholder
11,Quiff,male,short,quiff_sv_m
12,Blowout,male,short,placeholder
13,Comb Over,male,short,placeholder
14,Faux Hawk,male,short,fauxhawk_sv_m
15,Fringe,male,short,placeholder
16,Messy Waves,male,short,placeholder
17,Loose Waves,male,long,placeholder
18,Long and Straight,male,long,placeholder
19,Man Bun,male,medium,placeholder
20,Topknot,male,medium,placeholder
21,Waves,female,long,placeholder
22,Diana,female,medium,placeholder
23,Bob,female,medium,placeholder
24,Lob,female,medium,placeholder
25,Wob,female,medium,placeholder
26,Bangs,female,long,placeholder
27,Layers,female,medium,placeholder
28,Crop,female,medium,placeholder
29,Asymmetrical Cut,female,medium,placeholder
30,Chop,female,medium,placeholder
31,Tapered,female,short,placeholder
